University,Course ID,Course Title,Department,Department Code,Professors,Terms,Credits
Alabama A & M University,315,Consumer Textiles I,Apparel Merchandising Design,AMD,Allison P. Young; Linda F. Gardner; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,410,Apparel CAD,Apparel Merchandising Design,AMD,Linda F. Gardner,N/A,3
Alabama A & M University,411,Directed Field Experience,Apparel Merchandising Design,AMD,Patricia S. Henderson,Fall 11-12,6
Alabama A & M University,419,Merchandising & Design Seminar,Apparel Merchandising Design,AMD,Patricia Y. Young,Fall 11-12,2
Alabama A & M University,421,Problems & Independent Study,Apparel Merchandising Design,AMD,Allison P. Young; Patricia S. Henderson; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,422,Fashion Merchandise Study Tour,Apparel Merchandising Design,AMD,Allison P. Young,N/A,2
Alabama A & M University,527,Consumer Textiles,Apparel Merchandising Design,AMD,Allison P. Young; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,528,Soc Psy & Eco Asp Clothing,Apparel Merchandising Design,AMD,Linda F. Gardner,N/A,3
Alabama A & M University,530,Special Problems,Apparel Merchandising Design,AMD,Cynthia Smith; Linda F. Gardner; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,533,Historic Costume,Apparel Merchandising Design,AMD,Allison P. Young; Patricia Y. Young,N/A,3
Alabama A & M University,537,Fashion Mech Study Tour,Apparel Merchandising Design,AMD,Allison P. Young,N/A,2
Alabama A & M University,618,Textile Economics,Apparel Merchandising Design,AMD,Linda F. Gardner; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,104L,Art & Design,Apparel Merchandising Design,AMD,Patricia S. Henderson,N/A,3
Alabama A & M University,201L,Basic Clothing Construction,Apparel Merchandising Design,AMD,Eunice P. Tibbs; Linda F. Gardner; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,203L,Consumer Aspects of Clothing,Apparel Merchandising Design,AMD,Allison P. Young; Patricia Y. Young,Fall 11-12,3
Alabama A & M University,204L,Clothing Throughout Life Cycle,Apparel Merchandising Design,AMD,Eunice P. Tibbs,N/A,3
Alabama A & M University,307L,Flat Pattern Design,Apparel Merchandising Design,AMD,Linda F. Gardner,Fall 11-12,3
Alabama A & M University,316L,Consumer Textiles II,Apparel Merchandising Design,AMD,Linda F. Gardner; Patricia Y. Young,N/A,3
Alabama A & M University,404L,Advanced Clothing & Design,Apparel Merchandising Design,AMD,Linda F. Gardner,N/A,3
Alabama A & M University,405L,Functional Clothing Design,Apparel Merchandising Design,AMD,Linda F. Gardner; Patricia S. Henderson,Fall 11-12,3
Alabama A & M University,406L,Draping,Apparel Merchandising Design,AMD,Linda F. Gardner,N/A,3
Alabama A & M University,534L,Advanced Costume Design,Apparel Merchandising Design,AMD,Cynthia Smith,N/A,3
Alabama A & M University,101,Art Appreciation,Art,ART,Cara L. Fuller; Joe W. Washington; Louis Argend-Farlow;  Robert E. Bean; Scott L. Smith,Fall 11-12,3
