Georgetown University,300,Class & Culture in America,ANTH,ANTH,,,,http://www.koofers.com/georgetown-university/anth/300-class-culture-in-america/,,,,,,
Georgetown University,11,Intensive Basic Italian,ITAL,ITAL,,,,http://www.koofers.com/georgetown-university/ital/011-intensive-basic-italian/,,,,,,
Georgetown University,111,Intens Second Lev Chinese I,CHIN,CHIN,,,,http://www.koofers.com/georgetown-university/chin/111-intens-second-lev-chinese-i/,,,,,,
Georgetown University,284,Management Science,OPIM,OPIM,,,,http://www.koofers.com/georgetown-university/opim/284-management-science/,,,,,,
Georgetown University,588,Preparing A Scientific Paper,TBIO,TBIO,,,,http://www.koofers.com/georgetown-university/tbio/588-preparing-a-scientific-paper/,,,,,,
Georgetown University,293,Business French,FREN,FREN,,,,http://www.koofers.com/georgetown-university/fren/293-business-french/,,,,,,
Georgetown University,249,Family & Gender in Japan,SOCI,SOCI,,,,http://www.koofers.com/georgetown-university/soci/249-family-gender-in-japan/,,,,,,
Georgetown University,142,International Health Promotion,INTH,INTH,,,,http://www.koofers.com/georgetown-university/inth/142-international-health-promotion/,,,,,,
Georgetown University,160,Middle East I,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/160-middle-east-history-i/,,,,,,
Georgetown University,140,Social Psychology,PSYC,PSYC,,,,http://www.koofers.com/georgetown-university/psyc/140-social-psychology/,,,,,,
Georgetown University,84,Theology and Sexuality,THEO,THEO,,,,http://www.koofers.com/georgetown-university/theo/084-theology-and-sexuality/,,,,,,
Georgetown University,179,Staging Anti-Slavery,ENGL,ENGL,,,,http://www.koofers.com/georgetown-university/engl/179-staging-anti-slavery/,,,,,,
Georgetown University,9,Reading & Writing Seminar,HUMW,HUMW,,,,http://www.koofers.com/georgetown-university/humw/009-reading-writing-seminar/,,,,,,
Georgetown University,281,Hist of Christian Thought I,THEO,THEO,,,,http://www.koofers.com/georgetown-university/theo/281-hist-of-christian-thought-i/,,,,,,
Georgetown University,132,Ethics: Issues in Public Hlth,PHIL,PHIL,,,,http://www.koofers.com/georgetown-university/phil/132-ethics-issues-in-public-hlth/,,,,,,
Georgetown University,51,Hinduism Today,THEO,THEO,,,,http://www.koofers.com/georgetown-university/theo/051-hinduism-today/,,,,,,
Georgetown University,80,Public Speaking,PSPK,PSPK,,,,http://www.koofers.com/georgetown-university/pspk/080-public-speaking/,,,,,,
Georgetown University,8,Intro Late Hist: Euro II,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/008-intro-late-hist-pacific-world/,,,,,,
Georgetown University,517,Public Policy Process,PPOL,PPOL,,,,http://www.koofers.com/georgetown-university/ppol/517-public-policy-process/,,,,,,
Georgetown University,321,Clinical Neuropsychology,PSYC,PSYC,,,,http://www.koofers.com/georgetown-university/psyc/321-clinical-neuropsychology/,,,,,,
Georgetown University,202,Pathophysiology,HSCI,HSCI,,,,http://www.koofers.com/georgetown-university/hsci/202-pathophysiology/,,,,,,
Georgetown University,43,The Church in the 21st Cent,THEO,THEO,,,,http://www.koofers.com/georgetown-university/theo/043-the-church-in-the-21st-cent/,,,,,,
Georgetown University,140,Intro Women's/Gender Studies,WGST,WGST,,,,http://www.koofers.com/georgetown-university/wgst/140-intro-womens-gender-studies/,,,,,,
Georgetown University,40,Probability and Statistics,MATH,MATH,,,,http://www.koofers.com/georgetown-university/math/040-probability-and-statistics/,,,,,,
Georgetown University,104,Advanced Spanish II,SPAN,SPAN,,,,http://www.koofers.com/georgetown-university/span/104-advanced-spanish-ii/,,,,,,
Georgetown University,201,Global History of Soccer,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/201-global-history-of-soccer/,,,,,,
Georgetown University,539,Molecular Cell Biology,CBIO,CBIO,,,,http://www.koofers.com/georgetown-university/cbio/539-molecular-cell-biology/,,,,,,
Georgetown University,502,Applied Biostatistics,BIST,BIST,,,,http://www.koofers.com/georgetown-university/bist/502-applied-biostatistics/,,,,,,
Georgetown University,10,Intro to Ethics,PHIL,PHIL,,,,http://www.koofers.com/georgetown-university/phil/010-intro-to-ethics/,,,,,,
Georgetown University,341,Origins of the State in Europe,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/341-origins-of-the-state-in-europe/,,,,,,
Georgetown University,158,Academic Bridge ACS,ENFL,ENFL,,,,http://www.koofers.com/georgetown-university/enfl/158-academic-bridge-acs/,,,,,,
Georgetown University,6,International Relations,GOVT,GOVT,,,,http://www.koofers.com/georgetown-university/govt/006-international-relations/,,,,,,
Georgetown University,1,Introduction to Sociology,SOCI,SOCI,,,,http://www.koofers.com/georgetown-university/soci/001-introduction-to-sociology/,,,,,,
Georgetown University,201,Cbl:Management & Org Behavior,MGMT,MGMT,,,,http://www.koofers.com/georgetown-university/mgmt/201-management-org-behavior/,,,,,,
Georgetown University,101,Human Biology I,HSCI,HSCI,,,,http://www.koofers.com/georgetown-university/hsci/101-human-biology-i/,,,,,,
Georgetown University,174,Business Statistics,OPIM,OPIM,,,,http://www.koofers.com/georgetown-university/opim/174-business-statistics/,,,,,,
Georgetown University,99,Political & Social Thought,PHIL,PHIL,,,,http://www.koofers.com/georgetown-university/phil/099-political-social-thought/,,,,,,
Georgetown University,137,Multivariable Calculus,MATH,MATH,,,,http://www.koofers.com/georgetown-university/math/137-multivariable-calculus/,,,,,,
Georgetown University,1,General Psychology,PSYC,PSYC,,,,http://www.koofers.com/georgetown-university/psyc/001-general-psychology/,,,,,,
Georgetown University,1,Econ Principles Micro,ECON,ECON,,,,http://www.koofers.com/georgetown-university/econ/001-econ-principles-micro/,,,,,,
Georgetown University,20,Intro to Philosophy,PHIL,PHIL,,,,http://www.koofers.com/georgetown-university/phil/020-intro-to-philosophy/,,,,,,
Georgetown University,42,Gateway:Mod &/Or Post-Modern,ENGL,ENGL,,,,http://www.koofers.com/georgetown-university/engl/042-gateway-mod-or-post-modern/,,,,,,
Georgetown University,145,19th Century Art,ARTH,ARTH,,,,http://www.koofers.com/georgetown-university/arth/145-19th-century-art/,,,,,,
Georgetown University,201,Methods of Social Research,SOCI,SOCI,,,,http://www.koofers.com/georgetown-university/soci/201-methods-of-social-research/,,,,,,
Georgetown University,201,Microbiology,HSCI,HSCI,,,,http://www.koofers.com/georgetown-university/hsci/201-microbiology/,,,,,,
Georgetown University,112,Nutrition & Disease Prevention,NURS,NURS,,,,http://www.koofers.com/georgetown-university/nurs/112-nutrition-disease-prevention/,,,,,,
Georgetown University,249,Global Fincl Mrkts & Insts,FINC,FINC,,,,http://www.koofers.com/georgetown-university/finc/249-global-fincl-mrkts-insts/,,,,,,
Georgetown University,249,Global Fincl Mrkts & Insts,FINC,FINC,,,,http://www.koofers.com/georgetown-university/finc/249-global-fincl-mrkts-insts/,,,,,,
Georgetown University,1,Principles of Accounting,ACCT,ACCT,,,,http://www.koofers.com/georgetown-university/acct/001-principles-of-accounting/,,,,,,
Georgetown University,115,Music in Multicultural World,MUSC,MUSC,,,,http://www.koofers.com/georgetown-university/musc/115-music-in-a-multi-cultural-worl/,,,,,,
Georgetown University,268,Cul & Civil in Lat Amer Cinema,SPAN,SPAN,,,,http://www.koofers.com/georgetown-university/span/268-cul-civil-in-lat-amer-cinema/,,,,,,
Georgetown University,121,Economic Statistics,ECON,ECON,,,,http://www.koofers.com/georgetown-university/econ/121-economic-statistics/,,,,,,
Georgetown University,110,Drawing I:Visual Language,ARTS,ARTS,,,,http://www.koofers.com/georgetown-university/arts/110-drawing-i-visual-language/,,,,,,
Georgetown University,180,Studies in US Hist Until 1865,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/180-studies-in-us-hist-until-1865/,,,,,,
Georgetown University,220,Principles of Marketing,MARK,MARK,,,,http://www.koofers.com/georgetown-university/mark/220-principles-of-marketing/,,,,,,
Georgetown University,250,Mgmt Information Systems,OPIM,OPIM,,,,http://www.koofers.com/georgetown-university/opim/250-mgmt-information-systems/,,,,,,
Georgetown University,2,Econ Principles Macro,ECON,ECON,,,,http://www.koofers.com/georgetown-university/econ/002-econ-principles-macro/,,,,,,
Georgetown University,223,Monkeys/Apes/Humans,PSYC,PSYC,,,,http://www.koofers.com/georgetown-university/psyc/223-monkeys-apes-humans/,,,,,,
Georgetown University,1,The Problem of God,THEO,THEO,,,,http://www.koofers.com/georgetown-university/theo/001-the-problem-of-god/,,,,,,
Georgetown University,244,International Finance,ECON,ECON,,,,http://www.koofers.com/georgetown-university/econ/244-international-finance/,,,,,,
Georgetown University,11,Russian Realism,HUMW,HUMW,,,,http://www.koofers.com/georgetown-university/humw/011-novel-of-adultery/,,,,,,
Georgetown University,35,Calculus I,MATH,MATH,,,,http://www.koofers.com/georgetown-university/math/035-calculus-i/,,,,,,
Georgetown University,170,Philosophy of Language,PHIL,PHIL,,,,http://www.koofers.com/georgetown-university/phil/170-philosophy-of-language/,,,,,,
Georgetown University,123,Sociology of Hip Hop,SOCI,SOCI,,,,http://www.koofers.com/georgetown-university/soci/123-sociology-of-hip-hop/,,,,,,
Georgetown University,104,Medieval Sexualities,ENGL,ENGL,,,,http://www.koofers.com/georgetown-university/engl/104-medieval-sexualities/,,,,,,
Georgetown University,11,Intensive Basic French,FREN,FREN,,,,http://www.koofers.com/georgetown-university/fren/011-intensive-basic-french/,,,,,,
Georgetown University,137,Ethics:Deflationary Metaethics,PHIL,PHIL,,,,http://www.koofers.com/georgetown-university/phil/137-ethics-metaethics/,,,,,,
Georgetown University,7,Intro Early Hist: World I,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/007-intro-early-hist-atlantic-wld/,,,,,,
Georgetown University,535,Programmed Cell Death,BCHB,BCHB,,,,http://www.koofers.com/georgetown-university/bchb/535-programmed-cell-death/,,,,,,
Georgetown University,1,Pre-Calculus,MATH,MATH,,,,http://www.koofers.com/georgetown-university/math/001-pre-calculus/,,,,,,
Georgetown University,630,Environmental Politics/Policy,PPOL,PPOL,,,,http://www.koofers.com/georgetown-university/ppol/630-environmental-politics-policy/,,,,,,
Georgetown University,181,US History Since 1865,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/181-us-since-the-civil-war/,,,,,,
Georgetown University,41,Gateway:18th &/Or 19thc Lit/Cu,ENGL,ENGL,,,,http://www.koofers.com/georgetown-university/engl/041-gateway-18th-or-19thc-lit-cu/,,,,,,
Georgetown University,10,Intro to Informatn Technology,COSC,COSC,,,,http://www.koofers.com/georgetown-university/cosc/010-intro-to-computer-science/,,,,,,
Georgetown University,3,Hist of the Atlantic World,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/003-hist-of-the-atlantic-world/,,,,,,
Georgetown University,359,Resistance/Rebellion in Andes,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/359-resistance-rebellion-in-andes/,,,,,,
Georgetown University,465,Global Health and US Nat Sec,HESY,HESY,,,,http://www.koofers.com/georgetown-university/hesy/465-global-health-and-us-nat-sec/,,,,,,
Georgetown University,725,20th C Japan in Global Persp,HIST,HIST,,,,http://www.koofers.com/georgetown-university/hist/725-20th-c-japan-in-global-persp/,,,,,,
