Course Title,Course ID,City,University,State,Department Code,Course URL
Independent Study,1140,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/1140-independent-study/
Religion and Modernity,707,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/707-religion-and-modernity/
"Psych,Biology,&PoliticsOfFood",231,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/231-psychbiology-politicsoffood/
Phil Theology of von Balthasar,636,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/636-phil-theology-of-von-balthasar/
Molecular Anthropology,204,New Haven,Yale University,Connecticut,ANTH,http://www.koofers.com/yale-university/anth/204-molecular-anthropology/
Poverty&PostindustrlCapitalism,282,New Haven,Yale University,Connecticut,AFAM,http://www.koofers.com/yale-university/afam/282-poverty-postindustrlcapitalism/
Women in Nationalist Movements,455,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/455-women-in-nationalist-movements/
The Elements of Latin Grammar,110,New Haven,Yale University,Connecticut,LATN,http://www.koofers.com/yale-university/latn/110-the-elements-of-latin-grammar/
ChinesePaintMongols1260-1368,794,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/794-chinesepaintmongols1260-1368/
Elementary Dutch I,110,New Haven,Yale University,Connecticut,DUTC,http://www.koofers.com/yale-university/dutc/110-elementary-dutch-i/
IntlEnvirnmntlPolicy&Govrnance,85068,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/85068-intlenvirnmntlpolicy-govrnance/
DirectedIndStudy:EugeneO'Neill,439,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/439-contemporary-american-drama/
1st-yr. Design Studio,720,New Haven,Yale University,Connecticut,ART,http://www.koofers.com/yale-university/art/720-1st-yr-design-studio/
Policing: Seminar,21609,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21609-policing-seminar/
Aquatic Chemistry,60109,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/60109-aquatic-chemistry/
AnglicanTh/Hist II:TEC&AnglCom,798,New Haven,Yale University,Connecticut,REL,http://www.koofers.com/yale-university/rel/798-anglicanth-hist-ii-tec-anglcom/
FT in ForestResourceMgmt&Silvi,50119,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/50119-ft-in-forestresourcemgmt-silvi/
Recital Chorus (Voice),635,New Haven,Yale University,Connecticut,MUS,http://www.koofers.com/yale-university/mus/635-recital-chorus-voice/
LegalAspectsofEntrepreneurship,896,New Haven,Yale University,Connecticut,MGT,http://www.koofers.com/yale-university/mgt/896-legalaspectsofentrepreneurship/
Seminar in Biostatistics,525,New Haven,Yale University,Connecticut,BIS,http://www.koofers.com/yale-university/bis/525-seminar-in-biostatistics/
MoscowBerlinLeftistAvantGardes,652,New Haven,Yale University,Connecticut,GMAN,http://www.koofers.com/yale-university/gman/652-moscowberlinleftistavantgardes/
Bioinformatics:Apps&DataMining,452,New Haven,Yale University,Connecticut,MCDB,http://www.koofers.com/yale-university/mcdb/452-genomics-and-bioinformatics/
Intro to Isotope Geochemistry,510,New Haven,Yale University,Connecticut,G&G,http://www.koofers.com/yale-university/g-g/510-isotope-geochemistry/
AdvancdBiologicalTechniquesLab,347L,New Haven,Yale University,Connecticut,MCDB,http://www.koofers.com/yale-university/mcdb/347l-advancdbiologicaltechniqueslab/
Poets' Landscapes,381,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/381-poets-landscapes/
PolishCommunism&PostcommInFilm,241,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/241-polishcommunism-postcomminfilm/
PerspectvesOnScience&Engneerng,198,New Haven,Yale University,Connecticut,SCIE,http://www.koofers.com/yale-university/scie/198-perspectives-on-science/
Bible in Ancient Near East,115,New Haven,Yale University,Connecticut,NELC,http://www.koofers.com/yale-university/nelc/115-bible-in-ancient-near-east/
The Rise of the European Novel,723,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/723-the-rise-of-the-european-novel/
The Jewish Enlightenment,237,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/237-the-jewish-enlightenment/
Film Screening Seminar,651,New Haven,Yale University,Connecticut,ART,http://www.koofers.com/yale-university/art/651-film-screening-seminar/
Worker&Immigrant Rts Clinic,20465,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/20465-worker-immigrant-rts-clinic/
IslamToday:Jihad&Fundamentalsm,290,New Haven,Yale University,Connecticut,MMES,http://www.koofers.com/yale-university/mmes/290-islamtoday-jihad-fundamentalsm/
Lucian'sFiction&ComicDialogues,475,New Haven,Yale University,Connecticut,GREK,http://www.koofers.com/yale-university/grek/475-luciansfiction-comicdialogues/
Introductory Tamil I,110,New Haven,Yale University,Connecticut,TAML,http://www.koofers.com/yale-university/taml/110-introductory-tamil-i/
"Disaster,Degradation,Dystopia",80176,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/80176-disasterdegradationdystopia/
Applied Quantitative Analysis,121,New Haven,Yale University,Connecticut,GLBL,http://www.koofers.com/yale-university/glbl/121-applied-quantitative-analysis/
Business & Environment Clinic,852,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/852-business-environment-clinic/
Making China Modern,445,New Haven,Yale University,Connecticut,EAST,http://www.koofers.com/yale-university/east/445-making-china-modern/
